PacBio_Accession	Genename_from_GTF	Genename_from_FASTA	ENSG_from_GC	PacBio_Descr_from_GTF	In_GTF	In_FASTA
ENSMUST00000177501.2	Tmem70	Tmem70	ENSMUSG00000025940	Tmem70|ENSMUST00000177501.2|nan	yes	yes
ENSMUST00000183542.8	Nr4a2	Nr4a2	ENSMUSG00000026826	Nr4a2|ENSMUST00000183542.8|nan	yes	yes
ENSMUST00000183827.8	Pbx2	Pbx2	ENSMUSG00000034673	Pbx2|ENSMUST00000183827.8|nan	yes	yes
ENSMUST00000149719.8	Abi1	Abi1	ENSMUSG00000058835	Abi1|ENSMUST00000149719.8|nan	yes	yes
ENSMUST00000159499.2	Bace1	Bace1	ENSMUSG00000032086	Bace1|ENSMUST00000159499.2|nan	yes	yes
ENSMUST00000076887.6	Rsph6a	Rsph6a	ENSMUSG00000040866	Rsph6a|ENSMUST00000076887.6|nan	yes	yes
ENSMUST00000115433.11	Ap1m2	Ap1m2	ENSMUSG00000003309	Ap1m2|ENSMUST00000115433.11|nan	yes	yes
ENSMUST00000081688.13	Srgap1	Srgap1	ENSMUSG00000020121	Srgap1|ENSMUST00000081688.13|nan	yes	yes
ENSMUST00000066068.7	Smagp	Smagp	ENSMUSG00000053559	Smagp|ENSMUST00000066068.7|nan	yes	yes
ENSMUST00000160172.8	Maf1	Maf1	ENSMUSG00000022553	Maf1|ENSMUST00000160172.8|nan	yes	yes
ENSMUST00000080292.12	Cd6	Cd6	ENSMUSG00000024670	Cd6|ENSMUST00000080292.12|nan	yes	yes
ENSMUST00000020909.5	Laptm4a	Laptm4a	ENSMUSG00000020585	Laptm4a|ENSMUST00000020909.5|nan	yes	yes
ENSMUST00000022424.8	Rnase10	Rnase10	ENSMUSG00000021872	Rnase10|ENSMUST00000022424.8|nan	yes	yes
ENSMUST00000114716.4	Tmem214	Tmem214	ENSMUSG00000038828	Tmem214|ENSMUST00000114716.4|nan	yes	yes
ENSMUST00000206728.2	Fes	Fes	ENSMUSG00000053158	Fes|ENSMUST00000206728.2|nan	yes	yes
ENSMUST00000108514.10	Nlrp1b	Nlrp1b	ENSMUSG00000070390	Nlrp1b|ENSMUST00000108514.10|nan	yes	yes
ENSMUST00000028633.13	Fbn1	Fbn1	ENSMUSG00000027204	Fbn1|ENSMUST00000028633.13|nan	yes	yes
ENSMUST00000225247.3	Amer2	Amer2	ENSMUSG00000021986	Amer2|ENSMUST00000225247.3|nan	yes	yes
ENSMUST00000224556.2	Psd	Psd	ENSMUSG00000037126	Psd|ENSMUST00000224556.2|nan	yes	yes
ENSMUST00000172525.8	Hsf4	Hsf4	ENSMUSG00000033249	Hsf4|ENSMUST00000172525.8|nan	yes	yes
ENSMUST00000059250.8	Brms1l	Brms1l	ENSMUSG00000012076	Brms1l|ENSMUST00000059250.8|nan	yes	yes
ENSMUST00000019143.9	Slc35b4	Slc35b4	ENSMUSG00000018999	Slc35b4|ENSMUST00000019143.9|nan	yes	yes
ENSMUST00000001171.13	Lman2l	Lman2l	ENSMUSG00000001143	Lman2l|ENSMUST00000001171.13|nan	yes	yes
ENSMUST00000106165.8	Fam53b	Fam53b	ENSMUSG00000030956	Fam53b|ENSMUST00000106165.8|nan	yes	yes
ENSMUST00000212009.2	Ces5a	Ces5a	ENSMUSG00000058019	Ces5a|ENSMUST00000212009.2|nan	yes	yes
ENSMUST00000238237.2	Btbd35f1	Btbd35f1	ENSMUSG00000118459	Btbd35f1|ENSMUST00000238237.2|nan	yes	yes
ENSMUST00000102494.8	Nsrp1	Nsrp1	ENSMUSG00000037958	Nsrp1|ENSMUST00000102494.8|nan	yes	yes
ENSMUST00000120475.8	Peli3	Peli3	ENSMUSG00000024901	Peli3|ENSMUST00000120475.8|nan	yes	yes
ENSMUST00000024755.7	Clic5	Clic5	ENSMUSG00000023959	Clic5|ENSMUST00000024755.7|nan	yes	yes
ENSMUST00000112473.2	Spsb2	Spsb2	ENSMUSG00000038451	Spsb2|ENSMUST00000112473.2|nan	yes	yes
ENSMUST00000227337.2	Trio	Trio	ENSMUSG00000022263	Trio|ENSMUST00000227337.2|nan	yes	yes
ENSMUST00000238273.3	Ankfn1	Ankfn1	ENSMUSG00000047773	Ankfn1|ENSMUST00000238273.3|nan	yes	yes
ENSMUST00000236503.2	Akap8l	Akap8l	ENSMUSG00000002625	Akap8l|ENSMUST00000236503.2|nan	yes	yes
ENSMUST00000061327.2	Fbxo48	Fbxo48	ENSMUSG00000044966	Fbxo48|ENSMUST00000061327.2|nan	yes	yes
ENSMUST00000166339.8	Wfs1	Wfs1	ENSMUSG00000039474	Wfs1|ENSMUST00000166339.8|nan	yes	yes
ENSMUST00000200097.5	Ptbp2	Ptbp2	ENSMUSG00000028134	Ptbp2|ENSMUST00000200097.5|nan	yes	yes
ENSMUST00000117211.3	Or8h10	Or8h10	ENSMUSG00000070875	Or8h10|ENSMUST00000117211.3|nan	yes	yes
ENSMUST00000239145.2	Cdc14a	Cdc14a	ENSMUSG00000033502	Cdc14a|ENSMUST00000239145.2|nan	yes	yes
ENSMUST00000152349.8	Map4k2	Map4k2	ENSMUSG00000024948	Map4k2|ENSMUST00000152349.8|nan	yes	yes
ENSMUST00000207340.3	Or5b111	Or5b111	ENSMUSG00000062199	Or5b111|ENSMUST00000207340.3|nan	yes	yes
ENSMUST00000196280.5	Rap1gds1	Rap1gds1	ENSMUSG00000028149	Rap1gds1|ENSMUST00000196280.5|nan	yes	yes
ENSMUST00000030290.8	Patj	Patj	ENSMUSG00000061859	Patj|ENSMUST00000030290.8|nan	yes	yes
ENSMUST00000116343.3	Erf	Erf	ENSMUSG00000040857	Erf|ENSMUST00000116343.3|nan	yes	yes
ENSMUST00000078490.14	Itih4	Itih4	ENSMUSG00000021922	Itih4|ENSMUST00000078490.14|nan	yes	yes
ENSMUST00000035065.9	Ptgs2	Ptgs2	ENSMUSG00000032487	Ptgs2|ENSMUST00000035065.9|nan	yes	yes
ENSMUST00000115330.8	Pot1a	Pot1a	ENSMUSG00000029676	Pot1a|ENSMUST00000115330.8|nan	yes	yes
ENSMUST00000074246.7	Birc2	Birc2	ENSMUSG00000057367	Birc2|ENSMUST00000074246.7|nan	yes	yes
ENSMUST00000120857.8	Itgal	Itgal	ENSMUSG00000030830	Itgal|ENSMUST00000120857.8|nan	yes	yes
ENSMUST00000136609.8	Josd2	Josd2	ENSMUSG00000038695	Josd2|ENSMUST00000136609.8|nan	yes	yes
ENSMUST00000021413.9	Nfkbia	Nfkbia	ENSMUSG00000021025	Nfkbia|ENSMUST00000021413.9|nan	yes	yes
ENSMUST00000070218.12	Arpp21	Arpp21	ENSMUSG00000032503	Arpp21|ENSMUST00000070218.12|nan	yes	yes
ENSMUST00000032359.15	Aebp2	Aebp2	ENSMUSG00000030232	Aebp2|ENSMUST00000032359.15|nan	yes	yes
ENSMUST00000084170.12	Phactr4	Phactr4	ENSMUSG00000066043	Phactr4|ENSMUST00000084170.12|nan	yes	yes
ENSMUST00000049304.14	Klra7	Klra7	ENSMUSG00000067599	Klra7|ENSMUST00000049304.14|nan	yes	yes
ENSMUST00000091742.6	H2ac12	H2ac12	ENSMUSG00000069302	H2ac12|ENSMUST00000091742.6|nan	yes	yes
ENSMUST00000208577.2	Frmpd2	Frmpd2	ENSMUSG00000108841	Frmpd2|ENSMUST00000208577.2|nan	yes	yes
ENSMUST00000165860.8	Ubr4	Ubr4	ENSMUSG00000066036	Ubr4|ENSMUST00000165860.8|nan	yes	yes
ENSMUST00000071707.3	Tas2r120	Tas2r120	ENSMUSG00000059382	Tas2r120|ENSMUST00000071707.3|nan	yes	yes
ENSMUST00000087050.7	Col4a4	Col4a4	ENSMUSG00000067158	Col4a4|ENSMUST00000087050.7|nan	yes	yes
ENSMUST00000099311.9	Slx4ip	Slx4ip	ENSMUSG00000027281	Slx4ip|ENSMUST00000099311.9|nan	yes	yes
ENSMUST00000219404.2	Mmp19	Mmp19	ENSMUSG00000025355	Mmp19|ENSMUST00000219404.2|nan	yes	yes
ENSMUST00000171321.2	Psmb9	Psmb9	ENSMUSG00000096727	Psmb9|ENSMUST00000171321.2|nan	yes	yes
ENSMUST00000033490.13	Ccdc120	Ccdc120	ENSMUSG00000031150	Ccdc120|ENSMUST00000033490.13|nan	yes	yes
ENSMUST00000075717.7	Or7e177	Or7e177	ENSMUSG00000049028	Or7e177|ENSMUST00000075717.7|nan	yes	yes
ENSMUST00000027849.11	Cd247	Cd247	ENSMUSG00000005763	Cd247|ENSMUST00000027849.11|nan	yes	yes
ENSMUST00000072289.12	Flot2	Flot2	ENSMUSG00000061981	Flot2|ENSMUST00000072289.12|nan	yes	yes
ENSMUST00000099090.7	Tsc22d2	Tsc22d2	ENSMUSG00000027806	Tsc22d2|ENSMUST00000099090.7|nan	yes	yes
ENSMUST00000162600.2	Gulp1	Gulp1	ENSMUSG00000056870	Gulp1|ENSMUST00000162600.2|nan	yes	yes
ENSMUST00000138941.3	Dguok	Dguok	ENSMUSG00000014554	Dguok|ENSMUST00000138941.3|nan	yes	yes
ENSMUST00000178159.2	Zfp616	Zfp616	ENSMUSG00000069476	Zfp616|ENSMUST00000178159.2|nan	yes	yes
ENSMUST00000102625.11	Sars1	Sars1	ENSMUSG00000068739	Sars1|ENSMUST00000102625.11|nan	yes	yes
ENSMUST00000106762.8	Bptf	Bptf	ENSMUSG00000040481	Bptf|ENSMUST00000106762.8|nan	yes	yes
ENSMUST00000102982.2	H2bc22	H2bc22	ENSMUSG00000069308	H2bc22|ENSMUST00000102982.2|nan	yes	yes
ENSMUST00000073543.2	Or1x6	Or1x6	ENSMUSG00000057890	Or1x6|ENSMUST00000073543.2|nan	yes	yes
ENSMUST00000099716.11	Ckap5	Ckap5	ENSMUSG00000040549	Ckap5|ENSMUST00000099716.11|nan	yes	yes
ENSMUST00000238410.3	Cldn34c6	Cldn34c6	ENSMUSG00000118415	Cldn34c6|ENSMUST00000238410.3|nan	yes	yes
ENSMUST00000105339.8	Tcf3	Tcf3	ENSMUSG00000020167	Tcf3|ENSMUST00000105339.8|nan	yes	yes
ENSMUST00000084433.5	Acer2	Acer2	ENSMUSG00000038007	Acer2|ENSMUST00000084433.5|nan	yes	yes
ENSMUST00000064054.14	Syt1	Syt1	ENSMUSG00000035864	Syt1|ENSMUST00000064054.14|nan	yes	yes
ENSMUST00000225985.2	Cacna2d3	Cacna2d3	ENSMUSG00000021991	Cacna2d3|ENSMUST00000225985.2|nan	yes	yes
ENSMUST00000086028.6	Nme7	Nme7	ENSMUSG00000026575	Nme7|ENSMUST00000086028.6|nan	yes	yes
ENSMUST00000023468.6	Spag6l	Spag6l	ENSMUSG00000022783	Spag6l|ENSMUST00000023468.6|nan	yes	yes
ENSMUST00000215104.2	Ss18l2	Ss18l2	ENSMUSG00000032526	Ss18l2|ENSMUST00000215104.2|nan	yes	yes
ENSMUST00000161252.2	Hps1	Hps1	ENSMUSG00000025188	Hps1|ENSMUST00000161252.2|nan	yes	yes
ENSMUST00000021043.5	Ccl1	Ccl1	ENSMUSG00000020702	Ccl1|ENSMUST00000021043.5|nan	yes	yes
ENSMUST00000047486.6	Steep1	Steep1	ENSMUSG00000006423	Steep1|ENSMUST00000047486.6|nan	yes	yes
ENSMUST00000043814.5	Fig4	Fig4	ENSMUSG00000038417	Fig4|ENSMUST00000043814.5|nan	yes	yes
ENSMUST00000155700.2	Emc1	Emc1	ENSMUSG00000078517	Emc1|ENSMUST00000155700.2|nan	yes	yes
ENSMUST00000086932.10	Tfeb	Tfeb	ENSMUSG00000023990	Tfeb|ENSMUST00000086932.10|nan	yes	yes
ENSMUST00000052876.3	Eva1b	Eva1b	ENSMUSG00000050212	Eva1b|ENSMUST00000052876.3|nan	yes	yes
ENSMUST00000135618.8	Rasal3	Rasal3	ENSMUSG00000052142	Rasal3|ENSMUST00000135618.8|nan	yes	yes
ENSMUST00000002532.9	Rgs19	Rgs19	ENSMUSG00000002458	Rgs19|ENSMUST00000002532.9|nan	yes	yes
ENSMUST00000107372.8	Tnc	Tnc	ENSMUSG00000028364	Tnc|ENSMUST00000107372.8|nan	yes	yes
ENSMUST00000111352.8	Ddb2	Ddb2	ENSMUSG00000002109	Ddb2|ENSMUST00000111352.8|nan	yes	yes
ENSMUST00000219292.2	Nt5c1b	Nt5c1b	ENSMUSG00000020622	Nt5c1b|ENSMUST00000219292.2|nan	yes	yes
ENSMUST00000108639.8	Zbtb4	Zbtb4	ENSMUSG00000018750	Zbtb4|ENSMUST00000108639.8|nan	yes	yes
ENSMUST00000106407.9	Rabep2	Rabep2	ENSMUSG00000030727	Rabep2|ENSMUST00000106407.9|nan	yes	yes
ENSMUST00000198017.5	Fscn1	Fscn1	ENSMUSG00000029581	Fscn1|ENSMUST00000198017.5|nan	yes	yes
ENSMUST00000102848.9	Tle1	Tle1	ENSMUSG00000008305	Tle1|ENSMUST00000102848.9|nan	yes	yes
ENSMUST00000022337.11	Cdhr1	Cdhr1	ENSMUSG00000021803	Cdhr1|ENSMUST00000022337.11|nan	yes	yes
ENSMUST00000053035.7	Lrrc8e	Lrrc8e	ENSMUSG00000046589	Lrrc8e|ENSMUST00000053035.7|nan	yes	yes
ENSMUST00000207293.2	Tbc1d17	Tbc1d17	ENSMUSG00000038520	Tbc1d17|ENSMUST00000207293.2|nan	yes	yes
ENSMUST00000063507.11	Mcf2	Mcf2	ENSMUSG00000031139	Mcf2|ENSMUST00000063507.11|nan	yes	yes
ENSMUST00000064793.13	R3hdm2	R3hdm2	ENSMUSG00000025404	R3hdm2|ENSMUST00000064793.13|nan	yes	yes
ENSMUST00000073104.11	Ppp4r1	Ppp4r1	ENSMUSG00000061950	Ppp4r1|ENSMUST00000073104.11|nan	yes	yes
ENSMUST00000154873.9	Tead3	Tead3	ENSMUSG00000002249	Tead3|ENSMUST00000154873.9|nan	yes	yes
ENSMUST00000042971.16	Arl5c	Arl5c	ENSMUSG00000038352	Arl5c|ENSMUST00000042971.16|nan	yes	yes
ENSMUST00000234560.2	Wdr43	Wdr43	ENSMUSG00000041057	Wdr43|ENSMUST00000234560.2|nan	yes	yes
ENSMUST00000080165.5	Or14c39	Or14c39	ENSMUSG00000060688	Or14c39|ENSMUST00000080165.5|nan	yes	yes
ENSMUST00000139553.2	Gtf3c5	Gtf3c5	ENSMUSG00000026816	Gtf3c5|ENSMUST00000139553.2|nan	yes	yes
ENSMUST00000075510.12	Safb2	Safb2	ENSMUSG00000042625	Safb2|ENSMUST00000075510.12|nan	yes	yes
ENSMUST00000179410.2	Gm20873	Gm20873	ENSMUSG00000095148	Gm20873|ENSMUST00000179410.2|nan	yes	yes
ENSMUST00000118120.8	Wnt5b	Wnt5b	ENSMUSG00000030170	Wnt5b|ENSMUST00000118120.8|nan	yes	yes
ENSMUST00000135930.8	Atp8a1	Atp8a1	ENSMUSG00000037685	Atp8a1|ENSMUST00000135930.8|nan	yes	yes
ENSMUST00000177390.8	Golph3l	Golph3l	ENSMUSG00000046519	Golph3l|ENSMUST00000177390.8|nan	yes	yes
ENSMUST00000189488.3	Ccdc162	Ccdc162	ENSMUSG00000075225	Ccdc162|ENSMUST00000189488.3|nan	yes	yes
ENSMUST00000164907.3	Vmac	Vmac	ENSMUSG00000054723	Vmac|ENSMUST00000164907.3|nan	yes	yes
ENSMUST00000043235.8	Tiprl	Tiprl	ENSMUSG00000040843	Tiprl|ENSMUST00000043235.8|nan	yes	yes
ENSMUST00000129883.8	Mtmr14	Mtmr14	ENSMUSG00000030269	Mtmr14|ENSMUST00000129883.8|nan	yes	yes
ENSMUST00000213887.2	Gdpd5	Gdpd5	ENSMUSG00000035314	Gdpd5|ENSMUST00000213887.2|nan	yes	yes
ENSMUST00000201611.2	Fbxo21	Fbxo21	ENSMUSG00000032898	Fbxo21|ENSMUST00000201611.2|nan	yes	yes
ENSMUST00000217223.2	Or14j6	Or14j6	ENSMUSG00000058114	Or14j6|ENSMUST00000217223.2|nan	yes	yes
ENSMUST00000024636.15	Cep43	Cep43	ENSMUSG00000069135	Cep43|ENSMUST00000024636.15|nan	yes	yes
ENSMUST00000211506.2	Cyp2r1	Cyp2r1	ENSMUSG00000030670	Cyp2r1|ENSMUST00000211506.2|nan	yes	yes
ENSMUST00000046038.9	Slc25a28	Slc25a28	ENSMUSG00000040414	Slc25a28|ENSMUST00000046038.9|nan	yes	yes
ENSMUST00000173270.8	Stard10	Stard10	ENSMUSG00000030688	Stard10|ENSMUST00000173270.8|nan	yes	yes
ENSMUST00000109544.9	Vcan	Vcan	ENSMUSG00000021614	Vcan|ENSMUST00000109544.9|nan	yes	yes
ENSMUST00000209667.2	Hdac9	Hdac9	ENSMUSG00000004698	Hdac9|ENSMUST00000209667.2|nan	yes	yes
ENSMUST00000072744.15	Vipas39	Vipas39	ENSMUSG00000021038	Vipas39|ENSMUST00000072744.15|nan	yes	yes
ENSMUST00000087654.5	Zfp763	Zfp763	ENSMUSG00000067430	Zfp763|ENSMUST00000087654.5|nan	yes	yes
ENSMUST00000144760.3	Gm28845	Gm28845	ENSMUSG00000100846	Gm28845|ENSMUST00000144760.3|nan	yes	yes
ENSMUST00000095521.3	Zdhhc22	Zdhhc22	ENSMUSG00000048483	Zdhhc22|ENSMUST00000095521.3|nan	yes	yes
ENSMUST00000146431.3	Slc46a1	Slc46a1	ENSMUSG00000020829	Slc46a1|ENSMUST00000146431.3|nan	yes	yes
ENSMUST00000207050.2	Gm44973	Gm44973	ENSMUSG00000109129	Gm44973|ENSMUST00000207050.2|nan	yes	yes
ENSMUST00000020159.15	Med23	Med23	ENSMUSG00000019984	Med23|ENSMUST00000020159.15|nan	yes	yes
ENSMUST00000053441.5	Adam29	Adam29	ENSMUSG00000046258	Adam29|ENSMUST00000053441.5|nan	yes	yes
ENSMUST00000171337.10	Sorbs2	Sorbs2	ENSMUSG00000031626	Sorbs2|ENSMUST00000171337.10|nan	yes	yes
ENSMUST00000073151.13	Nlrp9b	Nlrp9b	ENSMUSG00000060508	Nlrp9b|ENSMUST00000073151.13|nan	yes	yes
ENSMUST00000236838.2	H2-Ob	H2-Ob	ENSMUSG00000041538	H2-Ob|ENSMUST00000236838.2|nan	yes	yes
ENSMUST00000162355.8	Rnf123	Rnf123	ENSMUSG00000041528	Rnf123|ENSMUST00000162355.8|nan	yes	yes
ENSMUST00000040307.6	Marchf9	Marchf9	ENSMUSG00000040502	Marchf9|ENSMUST00000040307.6|nan	yes	yes
ENSMUST00000182443.8	Plekha7	Plekha7	ENSMUSG00000045659	Plekha7|ENSMUST00000182443.8|nan	yes	yes
ENSMUST00000041369.8	Socs5	Socs5	ENSMUSG00000037104	Socs5|ENSMUST00000041369.8|nan	yes	yes
ENSMUST00000051777.15	C2cd3	C2cd3	ENSMUSG00000047248	C2cd3|ENSMUST00000051777.15|nan	yes	yes
ENSMUST00000162127.2	Tle3	Tle3	ENSMUSG00000032280	Tle3|ENSMUST00000162127.2|nan	yes	yes
ENSMUST00000106827.8	Dab1	Dab1	ENSMUSG00000028519	Dab1|ENSMUST00000106827.8|nan	yes	yes
ENSMUST00000028551.4	Emc4	Emc4	ENSMUSG00000027131	Emc4|ENSMUST00000028551.4|nan	yes	yes
ENSMUST00000099133.11	Arhgap40	Arhgap40	ENSMUSG00000074625	Arhgap40|ENSMUST00000099133.11|nan	yes	yes
ENSMUST00000249837.1	Tsr3	Tsr3	ENSMUSG00000015126	Tsr3|ENSMUST00000249837.1|nan	yes	yes
ENSMUST00000161363.2	Osbpl9	Osbpl9	ENSMUSG00000028559	Osbpl9|ENSMUST00000161363.2|nan	yes	yes
ENSMUST00000049305.14	Espn	Espn	ENSMUSG00000028943	Espn|ENSMUST00000049305.14|nan	yes	yes
ENSMUST00000030315.13	Pum1	Pum1	ENSMUSG00000028580	Pum1|ENSMUST00000030315.13|nan	yes	yes
ENSMUST00000107103.8	Rundc3a	Rundc3a	ENSMUSG00000006575	Rundc3a|ENSMUST00000107103.8|nan	yes	yes
ENSMUST00000225242.2	Fam217a	Fam217a	ENSMUSG00000021414	Fam217a|ENSMUST00000225242.2|nan	yes	yes
ENSMUST00000112893.2	Dtymk	Dtymk	ENSMUSG00000026281	Dtymk|ENSMUST00000112893.2|nan	yes	yes
ENSMUST00000059857.8	Rinl	Rinl	ENSMUSG00000051735	Rinl|ENSMUST00000059857.8|nan	yes	yes
ENSMUST00000096418.5	A1bg	A1bg	ENSMUSG00000022347	A1bg|ENSMUST00000096418.5|nan	yes	yes
ENSMUST00000026415.9	Cdk2	Cdk2	ENSMUSG00000025358	Cdk2|ENSMUST00000026415.9|nan	yes	yes
ENSMUST00000027985.8	Ddr2	Ddr2	ENSMUSG00000026674	Ddr2|ENSMUST00000027985.8|nan	yes	yes
ENSMUST00000038389.15	Strc	Strc	ENSMUSG00000033498	Strc|ENSMUST00000038389.15|nan	yes	yes
ENSMUST00000108354.8	Sirpb1c	Sirpb1c	ENSMUSG00000074677	Sirpb1c|ENSMUST00000108354.8|nan	yes	yes
ENSMUST00000114725.3	Tm9sf5	Tm9sf5	ENSMUSG00000079584	Tm9sf5|ENSMUST00000114725.3|nan	yes	yes
ENSMUST00000161653.2	Csmd3	Csmd3	ENSMUSG00000022311	Csmd3|ENSMUST00000161653.2|nan	yes	yes
ENSMUST00000183468.2	Zfp280d	Zfp280d	ENSMUSG00000038535	Zfp280d|ENSMUST00000183468.2|nan	yes	yes
ENSMUST00000204302.3	Mical3	Mical3	ENSMUSG00000051586	Mical3|ENSMUST00000204302.3|nan	yes	yes
ENSMUST00000032216.7	Ptms	Ptms	ENSMUSG00000030122	Ptms|ENSMUST00000032216.7|nan	yes	yes
ENSMUST00000034300.8	Hsbp1	Hsbp1	ENSMUSG00000031839	Hsbp1|ENSMUST00000034300.8|nan	yes	yes
ENSMUST00000182405.9	Kat6b	Kat6b	ENSMUSG00000021767	Kat6b|ENSMUST00000182405.9|nan	yes	yes
ENSMUST00000200647.2	Rbm8a	Rbm8a	ENSMUSG00000038374	Rbm8a|ENSMUST00000200647.2|nan	yes	yes
ENSMUST00000139631.8	P2rx4	P2rx4	ENSMUSG00000029470	P2rx4|ENSMUST00000139631.8|nan	yes	yes
ENSMUST00000249434.1	Gm3543	Gm3543	ENSMUSG00000093945	Gm3543|ENSMUST00000249434.1|nan	yes	yes
ENSMUST00000164181.2	Myl6	Myl6	ENSMUSG00000090841	Myl6|ENSMUST00000164181.2|nan	yes	yes
ENSMUST00000127987.2	Spef1	Spef1	ENSMUSG00000027329	Spef1|ENSMUST00000127987.2|nan	yes	yes
ENSMUST00000167504.3	Tma7	Tma7	ENSMUSG00000091537	Tma7|ENSMUST00000167504.3|nan	yes	yes
ENSMUST00000102926.5	Anp32b	Anp32b	ENSMUSG00000028333	Anp32b|ENSMUST00000102926.5|nan	yes	yes
ENSMUST00000140012.8	Pgbd5	Pgbd5	ENSMUSG00000050751	Pgbd5|ENSMUST00000140012.8|nan	yes	yes
ENSMUST00000120034.8	Fuom	Fuom	ENSMUSG00000025466	Fuom|ENSMUST00000120034.8|nan	yes	yes
ENSMUST00000170269.2	Nab1	Nab1	ENSMUSG00000002881	Nab1|ENSMUST00000170269.2|nan	yes	yes
ENSMUST00000147854.6	Ugt2a1	Ugt2a1	ENSMUSG00000106677	Ugt2a1|ENSMUST00000147854.6|nan	yes	yes
ENSMUST00000021892.7	Cts7	Cts7	ENSMUSG00000021440	Cts7|ENSMUST00000021892.7|nan	yes	yes
ENSMUST00000025861.3	Ovol1	Ovol1	ENSMUSG00000024922	Ovol1|ENSMUST00000025861.3|nan	yes	yes
ENSMUST00000134991.8	Elapor2	Elapor2	ENSMUSG00000056004	Elapor2|ENSMUST00000134991.8|nan	yes	yes
ENSMUST00000047904.4	Hoxd4	Hoxd4	ENSMUSG00000101174	Hoxd4|ENSMUST00000047904.4|nan	yes	yes
ENSMUST00000118882.2	Cnpy1	Cnpy1	ENSMUSG00000044681	Cnpy1|ENSMUST00000118882.2|nan	yes	yes
ENSMUST00000110521.3	Slc28a2b	Slc28a2b	ENSMUSG00000079071	Slc28a2b|ENSMUST00000110521.3|nan	yes	yes
ENSMUST00000093389.9	Morc2a	Morc2a	ENSMUSG00000034543	Morc2a|ENSMUST00000093389.9|nan	yes	yes
ENSMUST00000061826.3	B3galnt1	B3galnt1	ENSMUSG00000043300	B3galnt1|ENSMUST00000061826.3|nan	yes	yes
ENSMUST00000042167.10	Cpq	Cpq	ENSMUSG00000039007	Cpq|ENSMUST00000042167.10|nan	yes	yes
ENSMUST00000136090.8	Ccdc174	Ccdc174	ENSMUSG00000034083	Ccdc174|ENSMUST00000136090.8|nan	yes	yes
ENSMUST00000152796.8	Ythdf2	Ythdf2	ENSMUSG00000040025	Ythdf2|ENSMUST00000152796.8|nan	yes	yes
ENSMUST00000115100.9	Iqcg	Iqcg	ENSMUSG00000035578	Iqcg|ENSMUST00000115100.9|nan	yes	yes
ENSMUST00000160115.8	Wdr41	Wdr41	ENSMUSG00000042015	Wdr41|ENSMUST00000160115.8|nan	yes	yes
ENSMUST00000024078.15	Marchf5	Marchf5	ENSMUSG00000023307	Marchf5|ENSMUST00000024078.15|nan	yes	yes
ENSMUST00000089618.10	Ildr1	Ildr1	ENSMUSG00000022900	Ildr1|ENSMUST00000089618.10|nan	yes	yes
ENSMUST00000135222.9	Etnk2	Etnk2	ENSMUSG00000070644	Etnk2|ENSMUST00000135222.9|nan	yes	yes
ENSMUST00000138640.8	Phactr1	Phactr1	ENSMUSG00000054728	Phactr1|ENSMUST00000138640.8|nan	yes	yes
ENSMUST00000054351.6	Ndnf	Ndnf	ENSMUSG00000049001	Ndnf|ENSMUST00000054351.6|nan	yes	yes
ENSMUST00000077452.4	Defa38	Defa38	ENSMUSG00000061958	Defa38|ENSMUST00000077452.4|nan	yes	yes
ENSMUST00000067075.7	Nkx2-2	Nkx2-2	ENSMUSG00000027434	Nkx2-2|ENSMUST00000067075.7|nan	yes	yes
ENSMUST00000172233.8	Becn1	Becn1	ENSMUSG00000035086	Becn1|ENSMUST00000172233.8|nan	yes	yes
ENSMUST00000109149.9	Rnd1	Rnd1	ENSMUSG00000054855	Rnd1|ENSMUST00000109149.9|nan	yes	yes
ENSMUST00000148769.8	Sclt1	Sclt1	ENSMUSG00000059834	Sclt1|ENSMUST00000148769.8|nan	yes	yes
ENSMUST00000175680.3	Rd3	Rd3	ENSMUSG00000049353	Rd3|ENSMUST00000175680.3|nan	yes	yes
ENSMUST00000176864.3	Frmd4a	Frmd4a	ENSMUSG00000026657	Frmd4a|ENSMUST00000176864.3|nan	yes	yes
ENSMUST00000212781.2	Acsf3	Acsf3	ENSMUSG00000015016	Acsf3|ENSMUST00000212781.2|nan	yes	yes
ENSMUST00000112452.2	Kcnh7	Kcnh7	ENSMUSG00000059742	Kcnh7|ENSMUST00000112452.2|nan	yes	yes
ENSMUST00000226484.2	Mucl1	Mucl1	ENSMUSG00000060311	Mucl1|ENSMUST00000226484.2|nan	yes	yes
ENSMUST00000238997.2	Tecr	Tecr	ENSMUSG00000031708	Tecr|ENSMUST00000238997.2|nan	yes	yes
ENSMUST00000156198.8	Rassf1	Rassf1	ENSMUSG00000010067	Rassf1|ENSMUST00000156198.8|nan	yes	yes
ENSMUST00000105910.2	Cd164l2	Cd164l2	ENSMUSG00000028865	Cd164l2|ENSMUST00000105910.2|nan	yes	yes
ENSMUST00000176804.8	Arhgef2	Arhgef2	ENSMUSG00000028059	Arhgef2|ENSMUST00000176804.8|nan	yes	yes
ENSMUST00000024657.12	Phf10	Phf10	ENSMUSG00000023883	Phf10|ENSMUST00000024657.12|nan	yes	yes
ENSMUST00000043775.9	Kdm3b	Kdm3b	ENSMUSG00000038773	Kdm3b|ENSMUST00000043775.9|nan	yes	yes
